"Slider.v1.0.16b","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"Map/EightPuzzle/STile (6)/Objects/ConveyorOverwriteSign/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (6)/Objects/ConveyorOverwriteSign@0:0","Override: Disengaged
Conveyors: Functional","긴급 정지: 해제됨
컨베이어 벨트: 작동 중","",
"Map/EightPuzzle/STile (6)/Objects/ConveyorOverwriteSign@1:0","Override: Engaged
Conveyors: Disabled","긴급 정지: 활성화됨
컨베이어 벨트: 비활성화됨","",
"Map/EightPuzzle/STile (6)/Objects/Jimbo/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (6)/Objects/Jimbo/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (6)/Objects/Jimbo@0:0","Power the Mega Crystal!","메가 크리스탈에 전원을 넣으세요!","",
"Map/EightPuzzle/STile (6)/Objects/Jimbo@1:0","Uh oh! The crystal overloaded, it's a blackout!","어라! 크리스탈이 과부하되어 정전이 됐어요!","",
"Map/EightPuzzle/STile (6)/Objects/Jimbo@1:1","Someone's gotta run the factory reset script in the server room.","누군가 서버실에서 공장 초기화 스크립트를 실행해야 해요.","",
"Map/EightPuzzle/STile (6)/Objects/Jimbo@2:0","Ah, she's so beautiful.","아, 그녀는 정말 아름다워요.","",
"Map/EightPuzzle/STile (6)/Objects/Jimbo@2:1","I could look at her all day.","하루 종일 바라볼 수 있을 것 같아요.","",
"Map/EightPuzzle/STile (7)/All Tile Maps/Past Tile Maps/FromTheFuture/Objects/Time Calibration Sign/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (7)/All Tile Maps/Past Tile Maps/FromTheFuture/Objects/Time Calibration Sign/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (7)/All Tile Maps/Past Tile Maps/FromTheFuture/Objects/Time Calibration Sign@0:0","Time Calibrator Storage","시간 교정기 보관함","",
"Map/EightPuzzle/STile (7)/Objects/Confused Worker/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (7)/Objects/Confused Worker/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (7)/Objects/Confused Worker@0:0","How am I gonna explain this to the Foreman..?","포먼한테 이걸 어떻게 설명하지?","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@0:0","I... am Chad!","내가 바로... 채드다!","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@0:1","SENIOR!","네 선배라고!","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@0:2","And this buoy is mine!","그리고 이 부표는 내 거야!","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@0:3","You'll never get it from me, I bet my family legacy on it!","넌 절대 이걸 내게서 뺏지 못할 거야. 내 가문의 명예를 걸고 맹세하지!","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@1:0","Nice try, traveller. But I have a grip of STEEL.","좋은 시도였어, 여행자. 하지만 내 손아귀는 강철같이 단단하다고.","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@2:0","I am... in pain.","너무... 고통스러워...","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@3:0","Where do you think you're going with that! NOOOOO!","그걸 들고 어디로 가는 거야! 안 돼애애애!","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@4:0","Where do you think you're going with that! NOOOOO!","그걸 들고 어디로 가는 거야! 안 돼애애애!","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@5:0","Have you... spared me?","네가... 날 살려준 거야?","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@6:0","My family legacy... you won't get away with this explorer!","우리 가문의 명예... 이걸로 끝났다고 생각하지 마라, 탐험가!","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@7:0","yeOoUCH!","아야야야악!","",
"Map/EightPuzzle/STile (8)/All Tile Maps/Past Tile Maps/Objects/Chad Sr@8:0","I'll never forget what you've done to me!","네가 나한테 한 짓, 절대 잊지 않을 거야!","",
"Map/EightPuzzle/STile (8)/Objects/Battery Hater/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (8)/Objects/Battery Hater/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (8)/Objects/Battery Hater@0:0","All tanks are ready to be ""gooped up"".","모든 탱크가 ""꾸물텅""될 준비가 됐습니다.","",
"Map/EightPuzzle/STile (8)/Objects/Battery Hater@0:1","That's what my partner calls it.","제 동료가 그렇게 부르더군요.","",
"Map/EightPuzzle/STile (8)/Objects/Battery Hater@0:2","We need to fill the tanks with the crystal dilute from the mountains.","우리는 탱크에 산에서 가져온 크리스탈 희석액을 채워야 합니다.","",
"Map/EightPuzzle/STile (8)/Objects/Battery Hater@1:0","Tanks have been ""gooped up"". Good work.","탱크가 ""꾸물텅"" 됐습니다. 수고하셨습니다.","",
"Map/EightPuzzle/STile (9)/Objects/Foreman/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (9)/Objects/Foreman/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (9)/Objects/Foreman@0:0","Hey, what's the mattah with you? This place is still a mess!","어이, 뭐하는 거야? 여기 아직도 엉망이잖아!","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@1:0","Hauy! Quit slagin! Oh, who ah you?","저기! 빈둥거리지 마! 오, 당신 누구야?","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@1:1","Huh? Say you look like mighty fine astronaut material. Whaddaya say you ride my <wavy>rawket</wavy> to space?","응? 말해봐, 당신 꽤 괜찮은 우주비행사 감이네. 내 <wavy>로켓</wavy>을 타고 우주에 갈 생각 없어?","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@1:2","<wavy>The rawket</wavy> at the Magic Research Institute, just above mah factory.","마법 연구소에 있는 <wavy>로켓</wavy> 말이야, 내 공장 바로 위에 있지.","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@1:3","But we're still experahmenting with the rawket fuel. Tell yah what, if you help out you can ride it.","근데 우린 아직 로켓 연료 실험 중이야. 이렇게 하지, 당신이 실험을 도와주면 타게 해줄게.","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@1:4","Get the <#e6e639>explosives</color> from the military south and the <#c060c0>crystals</color> from the mountain west.","남쪽 군사 기지에서 <#e6e639>폭발물</color>을, 서쪽 산에서 <#c060c0>크리스탈</color>을 가져와.","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@2:0","Get the <#e6e639>explosives</color> from the military south and the <#c060c0>crystals</color> from the mountain west.","남쪽 군사 기지에서 <#e6e639>폭발물</color>을, 서쪽 산에서 <#c060c0>크리스탈</color>을 가져와.","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@2:1","We need both of them to finish the prep on mah rocket.","내 로켓 준비를 마치려면 둘 다 필요해.","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@3:0","Yah got the explahsives! Good job, runt.","폭발물을 가져왔구나! 잘했어, 꼬마야.","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@3:1","Now get the <#c060c0>crystals</color> from the mountain and fix the rail line.","이제 산에서 <#c060c0>크리스탈</color>을 가져오고 철로를 고쳐.","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@4:0","The line's fixed up! Great job runt. We just need those darn <#e6e639>explosives</color> now.","철로가 고쳐졌네! 잘했어 꼬마야. 이제 그 망할 <#e6e639>폭발물</color>만 있으면 돼.","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@5:0","Yah got it all! I'll get Drew to move his dump truck.","다 가져왔구나! 드류한테 덤프트럭 치우라고 할게.","",
"Map/EightPuzzle/STile (9)/Objects/Foreman@5:1","Good luck out there space man.","우주에서 행운을 빌지, 우주비행사.","",
"Map/EightPuzzle/STile (9)/Objects/Protesters/AAP Lackey/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/AAP Lackey/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/AAP Lackey@0:0","Most of the robots in the factory have gotten a lot friendlier since teaming together to save you.","당신을 구하기 위해 함께 일한 이후로 대부분의 공장 로봇들이 훨씬 더 친근해졌어요.","",
"Map/EightPuzzle/STile (9)/Objects/Protesters/AAP Lackey@0:1","Something about the desperation to save you snapped us all out of it.","당신을 구하려는 절박함이 우리 모두를 친해지게 한 것 같아요.","",
"Map/EightPuzzle/STile (9)/Objects/Protesters/AAP Lackey@0:2","Apparently this is their sense of humor... just... play along I guess.","저건 로봇들의 유머 감각인 것 같아요... 그냥... 적당히 맞춰주는 게 좋을 것 같네요.","",
"Map/EightPuzzle/STile (9)/Objects/Protesters/AAP Leader/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/AAP Leader/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/AAP Leader@0:0","We're the anti-anti-pooping union!","나는 똥 싸기 반대를 반대하는 연합이야!","",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (3)/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (3)/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (3)@0:0","Just hold it in!","참으십시오!","",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (4)/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (4)/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (4)@0:0","No poop on company time! Not efficient!","근무 시간에는 배변 금지입니다! 비효율적입니다!","",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (5)/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (5)/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (5)@0:0","Do it at home!","집에서 하십시오!","",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (6)/Canvas/Dialogue","","","TinyUnicode;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (6)/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/EightPuzzle/STile (9)/Objects/Protesters/Worker Robot (6)@0:0","I just really like the time to myself...","저는 혼자만의 시간을 정말 좋아할 뿐입니다...","",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist/Canvas/Dialogue","","","TinyUnicode;1",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist@0:0","H- Hello? Who are you?","아, 안녕하세요? 누구신가요?","",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist@0:1","Don't mind me, I'm not from around here either.","저는 신경 쓰지 마세요, 저도 이 근처 사람이 아니에요.","",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist@1:0","We've finally finished unpacking our research equipment.","우리는 드디어 연구 장비 포장을 다 풀었어요.","",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist@1:1","I'm investigating how entangles items behave in various circumstances.","저는 얽혀있는 물건들이 다양한 상황에서 어떻게 행동하는지 조사하고 있어요.","",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist@1:2","Whatttt, you wanted that gem? But it's already a part of the experiment!","뭐라고요, 저 보석을 원하신다구요? 하지만 이미 실험의 일부가 됐어요!","",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist@1:3","We managed to entangle a conductive bob somewhere, it should help in finishing this.","우리는 어딘가에 전도성 구슬을 얽히게 하는 데 성공했어요. 이걸 완성하는 데 도움이 될 거예요.","",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist@2:0","Aha, this appears to be the conductive bob from the present.","아하, 이게 현재의 전도성 구슬인 것 같아요.","",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist@3:0","Aha, this appears to be the conductive bob from the past.","아하, 이게 과거의 전도성 구슬인 것 같아요.","",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist@4:0","How fascinating! Moving the past item affects its future self.","정말 흥미롭네요! 과거의 물건을 움직이면 미래의 자신에게 영향을 미치는군요.","",
"Map/Past World Grid/BaseDecorations/Airlock/Airlock Scientist@4:1","I will continue these expirments. We must understand it all.","이 실험들을 계속 진행하겠습니다. 우리는 이 모든 것을 이해해야 해요.","",
"Map/Past World Grid/BaseObjects/North Area/Explosive Man/Canvas/Dialogue","","","TinyUnicode;1",
"Map/Past World Grid/BaseObjects/North Area/Explosive Man/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/Past World Grid/BaseObjects/North Area/Explosive Man@0:0","Har har har these explosives are so *powerful*","하하하 이 폭발물들 정말 *강력*하다니까","",
"Map/Past World Grid/BaseObjects/North Area/Explosive Man@0:1","Haha get it, they're such a *blast*","하하 알겠어? 정말 *폭발적*이라고","",
"Map/Past World Grid/BaseObjects/North Area/Explosive Man@1:0","Woah.","우와.","",
"Map/Past World Grid/BaseObjects/North Area/Explosive Man@1:1","That one really *knocked my socks off*","그건 정말 날 *날려버릴 뻔* 했어","",
"Map/Past World Grid/BaseObjects/North Area/Explosive Man@2:0","You're back! It's always a *blast* to have you around.","돌아왔구나! 네가 있으면 항상 *폭발적*으로 재밌어.","",
"Map/World Grid/BaseObjects/ChadFollowPlayer Variant/Canvas/Dialogue","","","TinyUnicode;1",
"Map/World Grid/BaseObjects/ChadFollowPlayer Variant/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/World Grid/BaseObjects/ChadFollowPlayer Variant@0:0","...","...","",
"Map/World Grid/BaseObjects/ChadFollowPlayer Variant@1:0","<var>MiscChadFollowPlayerChirp</var>","<var>MiscChadFollowPlayerChirp</var>","",
"Map/World Grid/BaseObjects/Closet Sign/Canvas/Dialogue","","","TinyUnicode;1",
"Map/World Grid/BaseObjects/Closet Sign/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/World Grid/BaseObjects/Closet Sign@0:0","You have entered the closet.","당신은 지금 옷장에 들어왔다.","",
"Map/World Grid/BaseObjects/East Area/Pooper/Canvas/Dialogue","","","TinyUnicode;1",
"Map/World Grid/BaseObjects/East Area/Pooper/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/World Grid/BaseObjects/East Area/Pooper@0:0","Oh. my. GOD. WHO PUT A GATE ON THE BATHROOM DOOR.","아. 세상에. 도대체 어떤 새끼가 화장실 문에 잠금장치를 달아둔거지.","",
"Map/World Grid/BaseObjects/East Area/Pooper@1:0","GET OUTTTTTTTT","나가아아아아!!!","",
"Map/World Grid/BaseObjects/East Area/Pooper@2:0","I almost died thank GOD you opened that door.","네가 문 열어줘서 정말 다행이야 죽을 뻔했어.","",
"Map/World Grid/BaseObjects/East Area/Pooper@2:1","I would have done vile things to the floor outside the office.","사무실 바닥에 끔찍한 짓을 할 뻔했다고.","",
"Map/World Grid/BaseObjects/East Area/Pooper@2:2","Straight animal. Untamed. Wild. Unhinged.","완전 짐승이 됐을 거야. 야생 그 자체. 미쳐버릴 뻔.","",
"Map/World Grid/BaseObjects/East Area/Pooper@2:3","You would have seen a different side of me, let me tell you.","내 다른 모습을 봤을 거야, 정말이라니까.","",
"Map/World Grid/BaseObjects/FezziwigSoftlockChecker/Canvas/Dialogue","","","TinyUnicode;1",
"Map/World Grid/BaseObjects/FezziwigSoftlockChecker/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/World Grid/BaseObjects/FezziwigSoftlockChecker@0:0","...","...","",
"Map/World Grid/BaseObjects/FezziwigSoftlockChecker@1:0","It looks like you're stuck! Let me help you out.","이런, 자네가 꼼짝 못하게 됐구려! 내가 좀 도와주겠네.","",
"Map/World Grid/BaseObjects/FezziwigSoftlockChecker@1:1","Tada!","짜잔!","",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew/Canvas/Dialogue","","","TinyUnicode;1",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew@0:0","Sorry, my dump truck is blocking the way up north.","미안, 내 덤프트럭이 북쪽 통로를 막고 있어.","",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew@0:1","The foreman told me to park my big dump truck right here.","현장 감독이 내 큰 덤프트럭을 여기 주차하라고 했거든.","",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew@0:2","I can move my dump truck once he gives the all clear.","감독이 괜찮다고 하면 덤프트럭을 옮길 수 있어.","",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew@1:0","Move? Well, we need to get the <#e6e639>explosives</color> from the military and <#c060c0>crystals</color> from the mountains.","옮기라고? 음, 우린 군대에서 <#e6e639>폭발물</color>을, 산에서 <#c060c0>크리스탈</color>을 가져와야 해.","",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew@1:1","The military conflict should be taking place south of the Factory.","군사적 충돌은 공장 남쪽에서 일어나고 있을 거야.","",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew@2:0","Move? Well, we still need the <#c060c0>crystals</color> from the mountains.","옮기라고? 음, 아직 산에서 <#c060c0>크리스탈</color>을 가져와야 해.","",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew@2:1","I'd check north of the Chloro Caves. Follow the rail line East.","클로로 동굴 북쪽을 확인해봐. 철도 노선을 따라 동쪽으로 가.
","",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew@3:0","Move? Well, we still need to get the <#e6e639>explosives</color> from the military.","옮기라고? 음, 아직 군대에서 <#e6e639>폭발물</color>을 가져와야 해.","",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew@3:1","The military conflict should be taking place south of the Factory.","군사적 충돌은 공장 남쪽에서 일어나고 있을 거야.","",
"Map/World Grid/BaseObjects/North Area/DumpTruck/Drew@4:0","Something went wrong... you should be allowed to pass. Please tell a dev!","Something went wrong... you should be allowed to pass. Please tell a dev!","",
"Map/World Grid/BaseObjects/North Area/MagiTech Sign/Canvas/Dialogue","","","TinyUnicode;1",
"Map/World Grid/BaseObjects/North Area/MagiTech Sign/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/World Grid/BaseObjects/North Area/MagiTech Sign@0:0","Ship all rocket materials to MRI via this road.","이 길을 통해 모든 로켓 재료를 MRI로 운반하세요.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)/Canvas/Dialogue","","","TinyUnicode;1",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@0:0","See that Conductive Bob on the ground? That might be useful to you.","감지: 전도성 구슬. 사용자에게 유용성 높음.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@0:1","Some human got it stuck in there though.","보고: 다른 인간 개체가 해당 객체를 현재 위치에 방치.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@1:0","How are we going to get that bob back now?","질의: 전도성 구슬 회수 방법?","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@2:0","Wait. You weren't supposed to do that.","경고: 예상 외 행동 감지.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@2:1","You were supposed to use the anchor... below the fence... you know what nevermind.","지시: 울타리 아래에 닻 사용 권장. 부가 설명 불필요.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@3:0","Treat that Conductive Bob safe now, there's only one of them.","주의: 전도성 구슬 안전 취급 요망. 수량: 1개.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@4:0","You have your own conductor... but...","관찰: 사용자 소유 전도체 존재.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@4:1","There should be a way to get <wavy>both</wavy> the Conductive Bob and the Anchor free from there.","분석: 객체 (전도성 구슬, 닻) <wavy>둘 모두</wavy> 해방 가능성 높음.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@5:0","Hey pal.","인사: 안녕하십니까, 인간 개체.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@5:1","It appears that you are stuck.","상태 보고: 사용자 구속 상태 감지.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@5:2","This was not part of the prototcol.","경고: 현 상황 프로토콜 위반.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@5:3","Remember, this is your fault.","알림: 현 상황 책임은 사용자에게 있음.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@5:4","INTIATING ELECTRIFICATION PROCEDURE","실행: 전기화 절차 개시","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@6:0","Ow. That hurt.","감각 입력: 고통. 불쾌.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@6:1","I hope you're happy.","희망: 사용자 만족도 상승.","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@6:2","...","...","",
"Map/World Grid/BaseObjects/North Area/Worker Robot (1)@7:0","Fantastic work. Couldn't have done it better myself.","평가: 작업 성과 탁월. 본 기기 능력 대비 우수.","",
"Map/World Grid/BaseObjects/West Area/Button Scientist/Canvas/Dialogue","","","TinyUnicode;1",
"Map/World Grid/BaseObjects/West Area/Button Scientist/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/World Grid/BaseObjects/West Area/Button Scientist@0:0","Who decided to power this conveyor with a button?","누가 이 컨베이어를 버튼으로 작동하게 만든 거야?","",
"Map/World Grid/BaseObjects/West Area/Button Scientist@0:1","Why couldn't we use a lever like every other conveyor?","다른 컨베이어처럼 레버를 쓰면 안 됐나?","",
"Map/World Grid/BaseObjects/West Area/Button Scientist@1:0","Really.","정말이지.","",
"Map/World Grid/BaseObjects/West Area/Button Scientist@1:1","What did you think would happen.","뭘 의도하고 설계한 건지.","",
"Map/World Grid/BaseObjects/West Area/Button Scientist@1:2","Try using that uh... scroll or something.","저기... 두루마리 같은 걸로 한번 해봐.","",
"Map/World Grid/BaseObjects/West Area/Button Scientist@2:0","This whole place is so inconvenient.","이 곳 전체가 너무 불편하게 되어 있어.","",
"Map/World Grid/BaseObjects/West Area/Button Scientist@3:0","I suppose this area does have its charm though.","뭐, 이 구역도 나름의 매력은 있긴 하지만.","",
"Map/World Grid/BaseObjects/West Area/GateAdvisor/Canvas/Dialogue","","","TinyUnicode;1",
"Map/World Grid/BaseObjects/West Area/GateAdvisor/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/World Grid/BaseObjects/West Area/GateAdvisor@0:0","Sorry but I uh... I done broke the Timed Gate's screen up there...","죄송합니다만... 저기 위에 있는 타임 게이트의 화면은 제가 아까 망가뜨렸습니다...","",
"Map/World Grid/BaseObjects/West Area/GateAdvisor@0:1","It still works though! Ya just can't see the screen.","그래도 아직 작동은 합니다! 단지 화면을 볼 수 없을 뿐입니다...","",
"Map/World Grid/BaseObjects/West Area/GateAdvisor@0:2","I can't get used to these new fangled technologies.","제가 이 새로운 기술들에 아직 익숙해지지를 못해서...","",
"Map/World Grid/BaseObjects/West Area/GateAdvisor@1:0","Oh! Ya turned it on.","오! 전원을 켜셨군요.","",
"Map/World Grid/BaseObjects/West Area/GateAdvisor@1:1","That gate right there's got three inputs. Try powerin' them all.","저기 있는 게이트에는 세 개의 입력부가 있습니다. 모두 전원을 넣어보세요.","",
"Map/World Grid/BaseObjects/West Area/GateAdvisor@2:0","Yer a smart cookie! That gate should stay open fer the rest of the day now.","정말 똑똑하시네요! 이제 저 게이트는 오늘 하루 종일 열려 있을 겁니다.","",
"Map/World Grid/BaseObjects/West Area/GateAdvisor@2:1","Wanna do the other one too while yer at it?","하는 김에 다른 것도 해보시겠습니까?","",
"Map/World Grid/BaseObjects/West Area/GateAdvisor@3:0","Phew, that's enough timed gate fer me.","휴, 저한테는 이 정도 타임 게이트면 충분합니다.","",
"Map/World Grid/BaseObjects/West Area/GateAdvisor@4:0","Great to see we got crystals again!","크리스탈을 다시 얻게 되어 정말 좋네요!","",
"Map/World Grid/BaseObjects/West Area/IntroForeman/Canvas/Dialogue","","","TinyUnicode;1",
"Map/World Grid/BaseObjects/West Area/IntroForeman/Canvas/Dialogue BG Font","","","PixelUnicodeFill;1",
"Map/World Grid/BaseObjects/West Area/IntroForeman@0:0","Who ah- wait a secawnd, Bab tawld me about you.","누구... 잠깐만, 밥이 네 얘기를 해줬어.","",
"Map/World Grid/BaseObjects/West Area/IntroForeman@0:1","You know, bab the bahtendah? said you's the guy putting the wawld back togethah.","알지? 바텐더 밥 말이야. 네가 세상을 다시 모으고 있는 녀석이라더라.","",
"Map/World Grid/BaseObjects/West Area/IntroForeman@0:2","Tell you what, my factory heeuh is in disahray. I think we can help each othah.","한 마디로 말해서, 내 공장이 지금 엉망진창이거든. 내 생각엔 우리가 서로 도울 수 있을 것 같군.","",
"Map/World Grid/BaseObjects/West Area/IntroForeman@0:3","The egg heads at the MRI cawntracted us for a rocket, but still need an astronawt.","MRI 똑똑이들이 우리한테 로켓을 맡겼는데, 우주비행사 자리가 아직 공석이라서.","",
"Map/World Grid/BaseObjects/West Area/IntroForeman@0:4","We need the factory fixed, some crystal gem fuel, and explosives to finish it.","공장을 고치고, 크리스탈 연료랑 폭발물을 마저 가져와야 해.","",
"Map/World Grid/BaseObjects/West Area/IntroForeman@0:5","Then... maybe we can hook you up.","그러면... 어쩌면 널 그 자리에 넣어줄 수 있을 거야.","",
"Map/World Grid/BaseObjects/West Area/IntroForeman@0:6","I'll go ask them in a bit and i'll check in on youh prawgress latah.","조금 있다 그들한테 물어보고 나중에 네 진행 상황을 확인하겠네.","",
"Map/World Grid/BaseObjects/West Area/IntroForeman@1:0","...","...","",
"Map/World Grid/BaseObjects/West Area/MountainMiner/Canvas/Dialogue","","","TinyUnicode;1",
