"Slider.v1.0.11","Unity.v2022.3.44f1","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
"Map/Tiles/Logan Tile/WorldCanvas/Text (1)/Text Outline (1)","Programming
Tech Art","_ho_Programming
Tech Art_ho_",
"Map/Tiles/Logan Tile/WorldCanvas/Text (1)/Text Outline (2)","Programming
Tech Art","_ho_Programming
Tech Art_ho_",
"Map/Tiles/Logan Tile/WorldCanvas/Text (1)/Text Outline (3)","Programming
Tech Art","_ho_Programming
Tech Art_ho_",
"Map/Tiles/Logan Tile/WorldCanvas/Text (1)/Text Outline (4)","Programming
Tech Art","_ho_Programming
Tech Art_ho_",
"Map/Tiles/Logan Tile/WorldCanvas/Text/Text","Logan Bowers","_ho_Logan Bowers_ho_",
"Map/Tiles/Logan Tile/WorldCanvas/Text/Text Outline (1)","Logan Bowers","_ho_Logan Bowers_ho_",
"Map/Tiles/Logan Tile/WorldCanvas/Text/Text Outline (2)","Logan Bowers","_ho_Logan Bowers_ho_",
"Map/Tiles/Logan Tile/WorldCanvas/Text/Text Outline (3)","Logan Bowers","_ho_Logan Bowers_ho_",
"Map/Tiles/Logan Tile/WorldCanvas/Text/Text Outline (4)","Logan Bowers","_ho_Logan Bowers_ho_",
"Map/Tiles/Other Tile/Objects/WizardDuelPuzzle/Fire Wizard Past/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Other Tile/Objects/WizardDuelPuzzle/Fire Wizard Past/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Other Tile/Objects/WizardDuelPuzzle/Lightning Wizard Past/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Other Tile/Objects/WizardDuelPuzzle/Lightning Wizard Past/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Other Tile/WorldCanvas/Text (1)/Text","Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
","_ho_Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
_ho_",
"Map/Tiles/Other Tile/WorldCanvas/Text (1)/Text Outline (1)","Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
","_ho_Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
_ho_",
"Map/Tiles/Other Tile/WorldCanvas/Text (1)/Text Outline (2)","Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
","_ho_Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
_ho_",
"Map/Tiles/Other Tile/WorldCanvas/Text (1)/Text Outline (3)","Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
","_ho_Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
_ho_",
"Map/Tiles/Other Tile/WorldCanvas/Text (1)/Text Outline (4)","Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
","_ho_Kate Tran 
Jimmy Huang
Maddie King
Sudarshan Srinivasan
Vu Nguyen
Rithvik Maladi
_ho_",
"Map/Tiles/Other Tile/WorldCanvas/Text/Text","Additional Contributions","_ho_Additional Contributions_ho_",
"Map/Tiles/Other Tile/WorldCanvas/Text/Text Outline (1)","Additional Contributions","_ho_Additional Contributions_ho_",
"Map/Tiles/Other Tile/WorldCanvas/Text/Text Outline (2)","Additional Contributions","_ho_Additional Contributions_ho_",
"Map/Tiles/Other Tile/WorldCanvas/Text/Text Outline (3)","Additional Contributions","_ho_Additional Contributions_ho_",
"Map/Tiles/Other Tile/WorldCanvas/Text/Text Outline (4)","Additional Contributions","_ho_Additional Contributions_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (2)/Text","Jamie Lee","_ho_Jamie Lee_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (2)/Text Outline (1)","Jamie Lee","_ho_Jamie Lee_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (2)/Text Outline (2)","Jamie Lee","_ho_Jamie Lee_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (2)/Text Outline (3)","Jamie Lee","_ho_Jamie Lee_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (2)/Text Outline (4)","Jamie Lee","_ho_Jamie Lee_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (3)/Text","Art","_ho_Art_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (3)/Text Outline (1)","Art","_ho_Art_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (3)/Text Outline (2)","Art","_ho_Art_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (3)/Text Outline (3)","Art","_ho_Art_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (3)/Text Outline (4)","Art","_ho_Art_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (4)/Text","Programming","_ho_Programming_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (4)/Text Outline (1)","Programming","_ho_Programming_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (4)/Text Outline (2)","Programming","_ho_Programming_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (4)/Text Outline (3)","Programming","_ho_Programming_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text (4)/Text Outline (4)","Programming","_ho_Programming_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text/Text","Pawan 
Jayakumar","_ho_Pawan 
Jayakumar_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text/Text Outline (1)","Pawan 
Jayakumar","_ho_Pawan 
Jayakumar_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text/Text Outline (2)","Pawan 
Jayakumar","_ho_Pawan 
Jayakumar_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text/Text Outline (3)","Pawan 
Jayakumar","_ho_Pawan 
Jayakumar_ho_",
"Map/Tiles/Pawan Jamie Tile/WorldCanvas/Text/Text Outline (4)","Pawan 
Jayakumar","_ho_Pawan 
Jayakumar_ho_",
"Map/Tiles/Programming Tile 1/Objects/Alien Commander/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Programming Tile 1/Objects/Alien Commander/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Programming Tile 1/Objects/Commander/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Programming Tile 1/Objects/Commander/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Programming Tile 1/Objects/Private/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Programming Tile 1/Objects/Private/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Programming Tile 1/Objects/Robot/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Programming Tile 1/Objects/Robot/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Programming Tile 1/Objects/Sergeant/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Programming Tile 1/Objects/Sergeant/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text (1)/Text","Additional Programming","_ho_Additional Programming_ho_",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text (1)/Text Outline (1)","Additional Programming","_ho_Additional Programming_ho_",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text (1)/Text Outline (2)","Additional Programming","_ho_Additional Programming_ho_",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text (1)/Text Outline (3)","Additional Programming","_ho_Additional Programming_ho_",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text (1)/Text Outline (4)","Additional Programming","_ho_Additional Programming_ho_",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text/Text","Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta","_ho_Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta_ho_",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text/Text Outline (1)","Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta","_ho_Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta_ho_",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text/Text Outline (2)","Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta","_ho_Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta_ho_",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text/Text Outline (3)","Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta","_ho_Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta_ho_",
"Map/Tiles/Programming Tile 1/WorldCanvas/Text/Text Outline (4)","Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta","_ho_Koushik Thiyagarajan
Kristian Chappell
Aneesh Boreda
Kenneth Wang
Muskaan Gupta_ho_",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text (1)/Text","Additional Programming","_ho_Additional Programming_ho_",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text (1)/Text Outline (1)","Additional Programming","_ho_Additional Programming_ho_",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text (1)/Text Outline (2)","Additional Programming","_ho_Additional Programming_ho_",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text (1)/Text Outline (3)","Additional Programming","_ho_Additional Programming_ho_",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text (1)/Text Outline (4)","Additional Programming","_ho_Additional Programming_ho_",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text/Text","Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia","_ho_Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia_ho_",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text/Text Outline (1)","Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia","_ho_Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia_ho_",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text/Text Outline (2)","Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia","_ho_Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia_ho_",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text/Text Outline (3)","Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia","_ho_Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia_ho_",
"Map/Tiles/Programming Tile 2/WorldCanvas/Text/Text Outline (4)","Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia","_ho_Reinart Realina
Thomas Dayton
Nicolas Cai
Tristan Ziegler
Zhenyu Wu
Steven Jia_ho_",
"Map/Tiles/Sara Max Tile/Sara/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Sara Max Tile/Sara/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (1)/Text","Art","_ho_Art_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (1)/Text Outline (1)","Art","_ho_Art_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (1)/Text Outline (2)","Art","_ho_Art_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (1)/Text Outline (3)","Art","_ho_Art_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (1)/Text Outline (4)","Art","_ho_Art_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (2)/Text","Max Zhang","_ho_Max Zhang_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (2)/Text Outline (1)","Max Zhang","_ho_Max Zhang_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (2)/Text Outline (2)","Max Zhang","_ho_Max Zhang_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (2)/Text Outline (3)","Max Zhang","_ho_Max Zhang_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (2)/Text Outline (4)","Max Zhang","_ho_Max Zhang_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (3)/Text","Design","_ho_Design_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (3)/Text Outline (1)","Design","_ho_Design_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (3)/Text Outline (2)","Design","_ho_Design_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (3)/Text Outline (3)","Design","_ho_Design_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text (3)/Text Outline (4)","Design","_ho_Design_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text/Text","Sara Inani","_ho_Sara Inani_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text/Text Outline (1)","Sara Inani","_ho_Sara Inani_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text/Text Outline (2)","Sara Inani","_ho_Sara Inani_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text/Text Outline (3)","Sara Inani","_ho_Sara Inani_ho_",
"Map/Tiles/Sara Max Tile/WorldCanvas/Text/Text Outline (4)","Sara Inani","_ho_Sara Inani_ho_",
"Map/Tiles/Special Thanks Tile/Objects/Alchemist Muta/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Special Thanks Tile/Objects/Alchemist Muta/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Special Thanks Tile/Objects/Fezziwig/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Special Thanks Tile/Objects/Fezziwig/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Special Thanks Tile/Objects/House1 bot right/Carly/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Special Thanks Tile/Objects/House1 bot right/Carly/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Special Thanks Tile/Objects/Hungry Worker/Canvas/Dialogue","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Special Thanks Tile/Objects/Hungry Worker/Canvas/Dialogue BG Font","Something went wrong with my dialogue!","_ho_Something went wrong with my dialogue!_ho_",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text (1)/Text","Mark Brown
Beth O'Brien
Playtesters
","_ho_Mark Brown
Beth O'Brien
Playtesters
_ho_",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text (1)/Text Outline (1)","Mark Brown
Beth O'Brien
Playtesters
","_ho_Mark Brown
Beth O'Brien
Playtesters
_ho_",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text (1)/Text Outline (2)","Mark Brown
Beth O'Brien
Playtesters
","_ho_Mark Brown
Beth O'Brien
Playtesters
_ho_",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text (1)/Text Outline (3)","Mark Brown
Beth O'Brien
Playtesters
","_ho_Mark Brown
Beth O'Brien
Playtesters
_ho_",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text (1)/Text Outline (4)","Mark Brown
Beth O'Brien
Playtesters
","_ho_Mark Brown
Beth O'Brien
Playtesters
_ho_",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text/Text","Special Thanks","_ho_Special Thanks_ho_",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text/Text Outline (1)","Special Thanks","_ho_Special Thanks_ho_",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text/Text Outline (2)","Special Thanks","_ho_Special Thanks_ho_",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text/Text Outline (3)","Special Thanks","_ho_Special Thanks_ho_",
"Map/Tiles/Special Thanks Tile/WorldCanvas/Text/Text Outline (4)","Special Thanks","_ho_Special Thanks_ho_",
