"Slider.v1.0.20","Unity.v2022.3.62f3","(file format explainer)->","Localization files are formatted like CSV so they can be easily edited,
however formatting has strict rules for easy parsing. Most of these rules
are already handled by Excel / Libre / etc., so you don't have to worry
about them in normal usage. However, if your localization file seems to
be corrupted, these rules may be helpful for debugging purposes...
- The first 4 rows can be arbitrarily long
  - The first cell of first row is used to store this block of instruction
    text
  - The first 3 cells of the fourth row is used as headers
  - All other cells in the first and fourth rows are ignored
  - Columns in the second row alternate between property and value (ex.
    ' foo | 1 | bar | 3.5 | ... '
    - Any whitespaces before and after the property name are ignored
  - Columns in the third row are exclusively comments for properties in the
    second row
- Every following line can include any number of cells, but only the
  first four will be parsed (you can use the rest as comments if needed)
  - The fourth column is an optional metadata column
",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/F/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/G/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/H/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/J/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/K/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/L/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 2/S/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/B/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/C/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/M/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/N/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/V/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/X/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/NewSavePanel/ProfileNameInput/Keyboard/Letter Keys/Row 3/Z/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Action/Binding/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:14;lineSpacing:-45;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Alt View/Binding/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:14;lineSpacing:-45;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Cycle Equip/Binding/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:14;lineSpacing:-45;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Down/Binding/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:14;lineSpacing:-45;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Left/Binding/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:14;lineSpacing:-45;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Right/Binding/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:14;lineSpacing:-45;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Move Up/Binding/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:14;lineSpacing:-45;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Open/Close Artifact/Binding/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:14;lineSpacing:-45;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/ControlsPanel/Keyboard Panel/Pause/Binding/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:14;lineSpacing:-45;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/FPS DropDown/Dropdown","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/OptionsMenu/RightContainer/DisplayPanel/List/Resolution DropDown/Dropdown","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/Backups Warning","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:16;lineSpacing:-24;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/Confirm Button Variant/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text/ProgressText","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/LeftSaveBackground/Left Save Button/Text/TimeText","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text/ProgressText","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/MiddleSaveBackground/Middle Save Button/Text/TimeText","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text/ProgressText","","","enableWordWrapping:1;extraPadding:0;family:PixelTitanZero;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
"UICanvas/SavesPanel/RightSaveBackground/Right Save Button/Text/TimeText","","","enableWordWrapping:1;extraPadding:0;family:PixelUnicode SDF;fontSize:16;lineSpacing:0;overflowMode:Overflow;wordSpacing:0;",
